Time,Channel A,Channel B
(s),(mV),(V)

3.23986297,-43.15928000,2.16040500
3.24017597,-41.38920000,2.16040500
3.24048897,-41.38920000,2.16040500
3.24080197,-41.38920000,2.16040500
3.24111497,-41.38920000,2.16040500
3.24142797,-41.38920000,2.16040500
3.24174097,-41.38920000,2.16040500
3.24205397,-41.38920000,2.16040500
3.24236697,-41.38920000,2.16040500
3.24267997,-41.38920000,2.16040500
3.24299297,-41.38920000,2.16040500
3.24330597,-43.15928000,2.16040500
3.24361897,-41.38920000,2.16040500
3.24393197,-41.38920000,2.16040500
3.24424497,-41.38920000,2.16040500
3.24455797,-41.38920000,2.16040500
3.24487097,-41.38920000,2.16040500
3.24518397,-41.38920000,2.16040500
3.24549697,-41.38920000,2.16040500
3.24580997,-43.15928000,2.16040500
3.24612297,-41.38920000,2.16040500
3.24643597,-39.61303000,2.16040500
3.24674897,-41.38920000,2.16040500
3.24706197,-41.38920000,2.16040500
3.24737497,-41.38920000,2.16040500
3.24768797,-41.38920000,2.16040500
3.24800097,-41.38920000,2.16040500
3.24831397,-41.38920000,2.16040500
3.24862697,-41.38920000,2.16040500
3.24893997,-41.38920000,2.16040500
3.24925297,-41.38920000,2.16040500
3.24956597,-41.38920000,2.16040500
3.24987897,-41.38920000,2.16040500
3.25019197,-41.38920000,2.16040500
3.25050497,-41.38920000,2.16040500
3.25081797,-43.15928000,2.16040500
3.25113097,-41.38920000,2.16040500
3.25144397,-41.38920000,2.16040500
3.25175697,-41.38920000,2.16040500
3.25206997,-43.15928000,2.16040500
3.25238297,-41.38920000,2.16040500
3.25269597,-41.38920000,2.16040500
3.25300897,-43.15928000,2.16040500
3.25332197,-43.15928000,2.16040500
3.25363497,-41.38920000,2.16040500
3.25394797,-41.38920000,2.16040500
3.25426097,-41.38920000,2.16040500
3.25457397,-41.38920000,2.16040500
3.25488697,-41.38920000,2.16040500
3.25519997,-41.38920000,2.16040500
3.25551297,-39.61303000,2.16040500
3.25582597,-41.38920000,2.16040500
3.25613897,-41.38920000,2.16040500
3.25645197,-41.38920000,2.16040500
3.25676497,-41.38920000,2.16040500
3.25707797,-41.38920000,2.16040500
3.25739097,-41.38920000,2.16040500
3.25770397,-41.38920000,2.16040500
3.25801697,-41.38920000,2.16040500
3.25832997,-39.61303000,2.16040500
3.25864297,-41.38920000,2.16040500
3.25895597,-43.15928000,2.16040500
3.25926897,-41.38920000,2.16040500
3.25958197,-43.15928000,2.16040500
3.25989497,-41.38920000,2.16040500
3.26020797,-41.38920000,2.16040500
3.26052097,-43.15928000,2.16040500
3.26083397,-41.38920000,2.16040500
3.26114697,-43.15928000,2.16040500
3.26145997,-41.38920000,2.16040500
3.26177297,-41.38920000,2.16040500
3.26208597,-41.38920000,2.16040500
3.26239897,-43.15928000,2.16040500
3.26271197,-43.15928000,2.16040500
3.26302497,-41.38920000,2.16040500
3.26333797,-41.38920000,2.16040500
3.26365097,-41.38920000,2.16040500
3.26396397,-41.38920000,2.16040500
3.26427697,-41.38920000,2.16040500
3.26458997,-41.38920000,2.16040500
3.26490297,-39.61303000,2.16040500
3.26521597,-41.38920000,2.16040500
3.26552897,-41.38920000,2.16040500
3.26584197,-41.38920000,2.16040500
3.26615497,-41.38920000,2.16040500
3.26646797,-41.38920000,2.16040500
3.26678097,-39.61303000,2.16040500
3.26709397,-41.38920000,2.16040500
3.26740697,-39.61303000,2.16040500
3.26771997,-39.61303000,2.16040500
3.26803297,-41.38920000,2.16040500
3.26834597,-41.38920000,2.16040500
3.26865897,-41.38920000,2.16040500
3.26897197,-41.38920000,2.16040500
3.26928497,-41.38920000,2.16040500
3.26959797,-43.15928000,2.16040500
3.26991097,-41.38920000,2.16040500
3.27022397,-41.38920000,2.16040500
3.27053697,-41.38920000,2.16040500
3.27084997,-41.38920000,2.16040500
3.27116297,-41.38920000,2.16040500
3.27147597,-41.38920000,2.16040500
3.27178897,-41.38920000,2.16040500
3.27210197,-41.38920000,2.16040500
3.27241497,-41.38920000,2.16040500
3.27272797,-41.38920000,2.16040500
3.27304097,-41.38920000,2.16040500
3.27335397,-41.38920000,2.16040500
3.27366697,-41.38920000,2.16040500
3.27397997,-43.15928000,2.16040500
3.27429297,-41.38920000,2.16040500
3.27460597,-41.38920000,2.16040500
3.27491897,-41.38920000,2.16040500
3.27523197,-41.38920000,2.16040500
3.27554497,-41.38920000,2.16040500
3.27585797,-41.38920000,2.16040500
3.27617097,-41.38920000,2.16040500
3.27648397,-41.38920000,2.16040500
3.27679697,-41.38920000,2.16040500
3.27710997,-41.38920000,2.16040500
3.27742297,-41.38920000,2.16040500
3.27773597,-41.38920000,2.16040500
3.27804897,-41.38920000,2.16040500
3.27836197,-41.38920000,2.16040500
3.27867497,-41.38920000,2.16040500
3.27898797,-41.38920000,2.16040500
3.27930097,-41.38920000,2.16040500
3.27961397,-41.38920000,2.16040500
3.27992697,-41.38920000,2.16040500
3.28023997,-41.38920000,2.16040500
3.28055297,-41.38920000,2.16040500
3.28086597,-41.38920000,2.16040500
3.28117897,-43.15928000,2.16040500
3.28149197,-41.38920000,2.16040500
3.28180497,-39.61303000,2.16040500
3.28211797,-41.38920000,2.16040500
3.28243097,-43.15928000,2.16040500
3.28274397,-41.38920000,2.16040500
3.28305697,-41.38920000,2.16040500
3.28336997,-41.38920000,2.16040500
3.28368297,-43.15928000,2.16040500
3.28399597,-43.15928000,2.16040500
3.28430897,-39.61303000,2.16040500
3.28462197,-41.38920000,2.16040500
3.28493497,-41.38920000,2.16040500
3.28524797,-39.61303000,2.16040500
3.28556097,-39.61303000,2.16040500
3.28587397,-41.38920000,2.16040500
3.28618697,-41.38920000,2.16040500
3.28649997,-41.38920000,2.16040500
3.28681297,-41.38920000,2.16040500
3.28712597,-41.38920000,2.16040500
3.28743897,-41.38920000,2.16040500
